GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
homework2,edu.postech.csed332.homework2,Element,0,10,0,0,0,4,0,3,0,3
homework2,edu.postech.csed332.homework2,Book,0,116,0,4,0,32,0,9,0,7
homework2,edu.postech.csed332.homework2,Library,7,261,1,27,5,62,1,19,0,6
homework2,edu.postech.csed332.homework2,Collection,0,197,2,14,0,46,2,14,0,8
